0,10,10,10,30
1,20,10,10,40
2,20,20,10,50
3,40,20,20,80
4,40,40,20,100
5,80,40,40,160
6,80,80,40,200
7,160,80,80,320
8,160,160,80,400
9,320,160,160,640
10,320,320,160,800
11,640,320,320,1280
12,640,640,320,1600
13,1280,640,640,2560
14,1280,1280,640,3200
15,2560,1280,1280,5120
16,2560,2560,1280,6400
17,5120,2560,2560,10240
18,5120,5120,2560,12800
19,10240,5120,5120,20480
20,10240,10240,5120,25600
21,20480,10240,10240,40960
22,20480,20480,10240,51200
23,40960,20480,20480,81920
24,40960,40960,20480,102400
25,81920,40960,40960,163840
